Time (s),Distance (cm)
6.00E+02,5.00E+00
6.20E+02,0.00E+00
6.20E+02,5.00E+00
6.31E+02,0.00E+00
6.31E+02,5.00E+00
6.39E+02,0.00E+00
6.39E+02,5.00E+00
6.40E+02,0.00E+00
6.40E+02,5.00E+00
6.44E+02,0.00E+00
6.44E+02,5.00E+00
6.48E+02,0.00E+00
6.48E+02,5.00E+00
6.49E+02,0.00E+00
6.49E+02,5.00E+00
6.51E+02,0.00E+00
6.51E+02,5.00E+00
6.52E+02,0.00E+00
6.52E+02,5.00E+00
6.53E+02,0.00E+00
6.53E+02,5.00E+00
6.54E+02,0.00E+00
6.54E+02,5.00E+00
6.55E+02,0.00E+00
6.55E+02,5.00E+00
6.56E+02,0.00E+00
6.56E+02,5.00E+00
6.57E+02,0.00E+00
6.57E+02,5.00E+00
6.58E+02,0.00E+00
6.58E+02,5.00E+00
6.61E+02,0.00E+00
6.62E+02,5.00E+00
6.62E+02,0.00E+00
6.63E+02,5.00E+00
6.63E+02,0.00E+00
6.64E+02,5.00E+00
6.64E+02,0.00E+00
6.65E+02,5.00E+00
6.65E+02,0.00E+00
6.66E+02,5.00E+00
6.69E+02,0.00E+00
6.69E+02,5.00E+00
6.71E+02,0.00E+00
6.71E+02,5.00E+00
6.72E+02,0.00E+00
6.72E+02,5.00E+00
6.73E+02,0.00E+00
6.73E+02,5.00E+00
6.77E+02,0.00E+00
6.77E+02,5.00E+00
6.80E+02,0.00E+00
6.81E+02,5.00E+00
6.81E+02,0.00E+00
6.81E+02,5.00E+00
6.82E+02,0.00E+00
6.83E+02,5.00E+00
6.85E+02,0.00E+00
6.85E+02,5.00E+00
6.86E+02,0.00E+00
6.86E+02,5.00E+00
6.87E+02,0.00E+00
6.87E+02,5.00E+00
6.88E+02,0.00E+00
6.88E+02,5.00E+00
6.89E+02,0.00E+00
6.89E+02,5.00E+00
6.91E+02,0.00E+00
6.91E+02,5.00E+00
6.92E+02,0.00E+00
6.92E+02,5.00E+00
6.93E+02,0.00E+00
6.93E+02,5.00E+00
6.95E+02,0.00E+00
6.95E+02,5.00E+00
6.96E+02,0.00E+00
6.96E+02,5.00E+00
7.06E+02,0.00E+00
7.06E+02,5.00E+00
7.10E+02,0.00E+00
7.10E+02,5.00E+00
7.12E+02,0.00E+00
7.12E+02,5.00E+00
7.18E+02,0.00E+00
7.19E+02,5.00E+00
7.19E+02,0.00E+00
7.20E+02,5.00E+00
7.31E+02,0.00E+00
7.31E+02,5.00E+00
7.32E+02,0.00E+00
7.33E+02,5.00E+00
7.33E+02,0.00E+00
7.34E+02,5.00E+00
7.39E+02,0.00E+00
7.39E+02,5.00E+00
7.40E+02,0.00E+00
7.40E+02,5.00E+00
7.41E+02,0.00E+00
7.41E+02,5.00E+00
7.42E+02,0.00E+00
7.42E+02,5.00E+00
7.43E+02,0.00E+00
7.43E+02,5.00E+00
7.44E+02,0.00E+00
7.44E+02,5.00E+00
7.45E+02,0.00E+00
7.45E+02,5.00E+00
7.46E+02,0.00E+00
7.46E+02,5.00E+00
7.47E+02,0.00E+00
7.47E+02,5.00E+00
7.49E+02,0.00E+00
7.49E+02,5.00E+00
7.50E+02,0.00E+00
7.50E+02,5.00E+00
7.51E+02,0.00E+00
7.51E+02,5.00E+00
7.52E+02,0.00E+00
7.53E+02,5.00E+00
7.53E+02,0.00E+00
7.54E+02,5.00E+00
7.55E+02,0.00E+00
7.55E+02,5.00E+00
7.56E+02,0.00E+00
7.56E+02,5.00E+00
7.61E+02,0.00E+00
7.61E+02,5.00E+00
